"","the_geom.type","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"1676","Point","2","Bronx","204","8","84","29","15","2124.0","679.0","Community Health Centers","backed",2013-09-09,"1067 Ogden Avenue","1067 Ogden Avenue","Odgen Avenue","W 165th Street and W 166th Street","Bronx","204.0","Not Applicable","Not Applicable","40.83487","-73.928296","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1677","Point","2","Bronx","209","18","87","32","15","3525.0","17.0","Bus Route","backless 2",2017-02-04,"1375 Metropolitan Avenue","1375 Metropolitan Avenue","Metropolitan Avenue","Wood Avenue & McGraw Avenue","Bronx","209.0","BX04","Not Applicable","40.83519","-73.86109","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1678","Point","2","Bronx","203","16","79","33","15","2693.0","1401.0","Municipal Facilities","backed",2014-09-10,"580 Crotona Park South","580 Crotona Park South","Crotona Park South","Fulton Avenue & Franklin Avenue","Bronx","203.0","Not Applicable","Not Applicable","40.835286","-73.900751","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1679","Point","2","Bronx","209","18","87","33","15","4026.0","9998.0","Bus Route","backless",2018-03-06,"1748 Cross Bronx Expy","1748 Cross Bronx Expy","Cross Bronx Expy","Commonwealth Avenue & Rosedale Avenue","Bronx","209.0","Q44","Not Applicable","40.835453","-73.869553","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1680","Point","2","Bronx","203","17","79","33","15","2887.0","1232.0","Municipal Facilities","backless",2014-12-03,"1619 Boston Road","1619 Boston Road","Boston Road","Seabury Place and E. 173rd Street","Bronx","203.0","BX21","Not Applicable","40.8359","-73.890458","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1681","Point","2","Bronx","203","16","79","33","15","2692.0","1301.0","Municipal Facilities","backed",2014-09-10,"450 Saint Pauls Place","1399 Washington Avenue","Washington Avenue","St. Pauls Place & East 170th Street","Bronx","203.0","Not Applicable","Not Applicable","40.836404","-73.905014","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1682","Point","2","Bronx","203","17","85","32","15","2123.0","1061.0","General","backed",2013-10-23,"1768 Bryant Avenue","1768 Bryant Avenue","Bryant Avenue","E 174th Street","Bronx","203.0","Not Applicable","Not Applicable","40.83652","-73.885069","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1683","Point","2","Bronx","209","18","87","32","14","2451.0","967.0","Senior Center","backed",2014-05-02,"1525 Unionport Road","1525 Unionport Road","Unionport Road","MacGraw Avenue and Metropolitan Street","Bronx","209.0","Not Applicable","Not Applicable","40.836585","-73.856898","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1684","Point","1","Manhattan","112","7","71","31","13","3003.0","1951.0","Municipal Facilities","backless",2015-01-23,"3864 Broadway","3864 Broadway","Broadway","West 161st Street & West 162nd Street","Manhattan","112.0","M5","Not Applicable","40.836745","-73.942905","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1685","Point","2","Bronx","203","17","79","32","15","2877.0","1272.0","Municipal Facilities","backless",2014-12-03,"931 E. 174th Street","931 E. 174th Street","Hoe Avenue","Hoe Avenue and Southern Blvd.","Bronx","203.0","BX36","Not Applicable","40.837206","-73.887225","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1686","Point","2","Bronx","209","18","87","32","14","2710.0","2710.0","Municipal Facilities","backed",2014-08-05,"2120 Saint Raymonds Avenue","1504 Olmstead Avenue","Olmstead Avenue","Saint Raymonds Avenue & Starling Avenue","Bronx","209.0","Not Applicable","Not Applicable","40.837524","-73.8548","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1687","Point","1","Manhattan","112","7","71","31","13","3634.0","47.0","Bus Route","backless 2",2017-05-06,"3906 Broadway","3906 Broadway","Broadway","W. 164th Street & W. 163rd Street","Manhattan","112.0","M4","Not Applicable","40.83804","-73.941957","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1688","Point","2","Bronx","203","16","79","33","15","2729.0","1303.0","Municipal Facilities","backed",2014-09-12,"1537 Washington Avenue","1537 Washington Avenue","Clearmont Parkway","Clearmont Parkway and E. 171st Street","Bronx","206.0","Not Applicable","Not Applicable","40.838288","-73.902987","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1689","Point","2","Bronx","203","17","79","32","15","3527.0","558.0","Municipal Facilities","backed 2",2017-05-26,"1778 Southern Boulevard","1778 Southern Boulevard","Boston Road & E. 175th Street","Boston Road","Bronx","203.0","Not Applicable","Not Applicable","40.838298","-73.887187","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1690","Point","1","Manhattan","112","10","72","31","13","3001.0","1526.0","Municipal Facilities","backless",2015-01-20,"465 West 167th Street","2171 Amsterdam Avenue","Amsterdam Avenue","Amsterdam Avenue and Jumel Place","Manhattan","112.0","M101","Not Applicable","40.838954","-73.936838","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1691","Point","2","Bronx","206","17","87","32","15","2705.0","1404.0","Municipal Facilities","backed",2014-09-10,"1970 West Farms Road","1970 West Farms Road","West Farms Road","East Tremont Avenue & Rodman Place","Bronx","206.0","Not Applicable","Not Applicable","40.839565","-73.880358","X","AREA OF MINIMAL FLOOD HAZARD","5"
"1692","Point","2","Bronx","209","15","87","33","15","4027.0","10.0","Bus Route","backed 2",2018-03-06,"1280 East Tremont Avenue","1280 East Tremont Avenue","East Tremont Avenue","Van Nest Avenue & Rosedale Avenue","Bronx","209.0","BX40","Not Applicable","40.839659","-73.871084","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1693","Point","1","Manhattan","112","10","72","31","13","3002.0","1525.0","Municipal Facilities","backed",2015-01-23,"3959 Broadway","3959 Broadway","Broadway","West 166th Street & West 167th Street","Manhattan","112.0","M5","Not Applicable","40.839768","-73.940723","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1694","Point","2","Bronx","204","16","77","29","15","2656.0","1174.0","Municipal Facilities","backed",2014-08-07,"1425 Walton Avenue","1425 Walton Avenue","Walton Avenue","E 170th Street and E 171st Street","Bronx","204.0","Not Applicable","Not Applicable","40.840096","-73.915569","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1695","Point","2","Bronx","204","16","77","29","15","3479.0","19.0","Bus Route","backless 2",2017-02-04,"1 E 170th Street","1 E 170th Street","E 170th Street","Jerome Avenue & Townsend Avenue","Bronx","204.0","BX11","Not Applicable","40.840182","-73.917542","X","AREA OF MINIMAL FLOOD HAZARD",NA
